Kata,Frekuensi,Persentase
enak,3044,2.36
makan,2717,2.11
the,1844,1.43
tempat,1576,1.22
banget,1476,1.15
layan,1462,1.14
nya,1341,1.04
rasa,1284,1.0
and,1187,0.92
ramah,1005,0.78
menu,980,0.76
nyaman,830,0.64
harga,793,0.62
buat,724,0.56
a,688,0.53
food,676,0.52
sangat,629,0.49
is,626,0.49
kalau,617,0.48
sama,612,0.48
sini,599,0.47
banyak,593,0.46
to,569,0.44
good,564,0.44
it,560,0.43
nasi,513,0.4
jadi,491,0.38
i,470,0.36
was,463,0.36
for,451,0.35
ada,441,0.34
pas,422,0.33
lama,422,0.33
baik,422,0.33
of,416,0.32
jogja,415,0.32
kurang,412,0.32
semua,404,0.31
suasana,399,0.31
cukup,398,0.31
in,391,0.3
tidak,388,0.3
mantap,380,0.3
oke,376,0.29
parkir,370,0.29
lebih,358,0.28
goreng,347,0.27
place,345,0.27
service,344,0.27
rekomendasi,343,0.27
bagus,341,0.26
kesini,341,0.26
porsi,341,0.26
pesan,335,0.26
minum,334,0.26
bersih,332,0.26
ayam,321,0.25
aja,315,0.24
with,311,0.24
suka,308,0.24
cocok,308,0.24
sekali,304,0.24
yang,300,0.23
resto,291,0.23
es,291,0.23
mau,289,0.22
lumayan,280,0.22
ramen,278,0.22
luas,271,0.21
datang,261,0.2
best,260,0.2
di,260,0.2
cepat,259,0.2
s,254,0.2
pilih,254,0.2
selalu,249,0.19
kali,249,0.19
daging,248,0.19
you,246,0.19
but,232,0.18
coba,230,0.18
great,228,0.18
so,225,0.17
cuma,224,0.17
terlalu,224,0.17
very,220,0.17
worth,218,0.17
nice,216,0.17
restaurant,216,0.17
masakan,215,0.17
this,211,0.16
baru,208,0.16
aku,205,0.16
staff,203,0.16
keluarga,200,0.16
satu,197,0.15
saya,194,0.15
jam,193,0.15
chicken,190,0.15
meja,190,0.15
