nama,stars,text,fake_score,label,reason,has_image
Rinda Rahma,5,"makanan nya enakkk, pelayanan juga good bgtttt...",6,FAKE,Tidak ada foto reviewer; Reviewer baru (<=2 review); Bukan Local Guide; Banyak review di hari yg sama (>5),False
Frida Marina,5,,6,FAKE,Bintang 5 tanpa teks; Tidak ada foto reviewer; Banyak review di hari yg sama (>5),False
Hadi Widjaja,1,"Tempat makan yang mahal dan jorok, ada plastik di steak sirloinnya.",0,REAL,Terlihat asli,True
Budi Santosa,5,Great....,2,REAL,Terlihat asli,True
Abigail Ulil Albab Affendi,5,pengen ke sini,5,FAKE,Bintang 5 & teks sangat pendek; Tidak ada foto reviewer; Banyak review di hari yg sama (>5),False
Febri Arif Saputra,4,Bit pricey,1,REAL,Terlihat asli,False
Azjar Jhon Raghozt,5,,6,FAKE,Bintang 5 tanpa teks; Tidak ada foto reviewer; Banyak review di hari yg sama (>5),False
Faid Anin,5,,7,FAKE,Bintang 5 tanpa teks; Tidak ada foto reviewer; Bukan Local Guide; Banyak review di hari yg sama (>5),False
Genta,5,"Yogyakarta Kitchen is the main restaurant at the Yogyakarta Marriott Hotel, and it truly exceeded my expectations—especially for lunch. The food here is incredibly flavorful, surpassing even some well-known restaurants I’ve tried elsewhere. If you’re visiting, I highly recommend making time for lunch here.

For lunch, the standouts were the Gudeg Yogyakarta, Garang Asem, and Sate Maranggi. Each dish was perfectly cooked, bursting with authentic flavors, and absolutely delightful. The Gudeg, in particular, was a highlight—rich, flavorful, and a true taste of Yogyakarta’s culinary heritage.

The restaurant also serves the breakfast buffet, which offers a vast selection of options, primarily focused on Indonesian cuisine from various regions. While the flavors at breakfast were good, they didn’t quite match the wow factor of the lunch menu. However, the variety and freshness were impressive. Plus, they change the menu daily, ensuring a different experience if you stay multiple nights.

The ambiance is welcoming, and the staff are attentive, adding to the overall dining experience. Whether you’re staying at the hotel or just stopping by, Yogyakarta Kitchen is definitely worth visiting, especially for lunch—you won’t be disappointed!",2,REAL,Terlihat asli,True
Nadya Khairunnisa,5,,9,FAKE,Bintang 5 tanpa teks; Tidak ada foto reviewer; Reviewer baru (<=2 review); Bukan Local Guide; Banyak review di hari yg sama (>5),False
Arcelia Maleeka Haifa Maajid,4,"Aku pesan original curry ramen & kanigawa ramen, minum ocha. Uniknya ocha di sini bisa minta tambah gula. Tekstur mie oke, tingkat kepedasan bisa pilih sesuai selera (literally sambel), cuma kalau kuah buatku kurang—entah itu bumbu, atau kaldu.

Nyicipin juga kuah yg lain: thai curry ramen, chicken karaage ramen, sama chicken katsu ramen. Kuah curry basicnya sama rasanya, bukan curry yg thick. Kuah yg chicken juga katsu & karaage juga sama, mirip ayam bawang. Porsi lumayan besar. Saran kalau mau beli chicken katsu mending ramennya sekalian aja cuma beda 5rb 👌🏻

Service cepat, tempat sangat nyaman krn full ac. Recommended buat yg cari ramen murah meriah dengan rasa sesuai & porsi mengenyangkan!",2,REAL,Terlihat asli,True
Sari Farrel,5,"Pelayanannya mantap, rasanya enak pasti balik lagi ke Yoshinoya",5,FAKE,Reviewer baru (<=2 review); Bukan Local Guide; Banyak review di hari yg sama (>5),True
Anindita Wisesa,5,Enaaaakkk dapet promo buy 1 get 1 cuma pake ID,3,REAL,Terlihat asli,False
Dimas Fakhruddin,4,"🔰Food:
Makanan di SS selalu enak, di semua outlet rasa dan kualitasnya terjaga. No comment.

🔰Service:
Pelayanannya juga baik, karena mungkin SS berhasil menerapkan SOP pelayanan, sehingga semua outlet sama kualitas pelayanannya. Untuk parkir mobil lumayan susah karena posisinya di pinggir jalan raya.

🔰Atmosphere:
Catatan untuk outlet jalan monjali ini, terutama di area makan lesehan pojok timur utara, ada hewan terbang (Mrutu) yang sangat mengganggu ketika makan, dan bahkan mungkin saja bisa masuk ke minuman atau hinggap di makanan. Benar-benar mengganggu, kebetulan saya makan pas malam hari. Bisa dilihat di video yang saya cantumkan, semoga jadi bahan evaluasi.",2,REAL,Terlihat asli,True
Rahmania Putri Nabila,5,,8,FAKE,Bintang 5 tanpa teks; Reviewer baru (<=2 review); Bukan Local Guide; Banyak review di hari yg sama (>5),True
Oktaviani Yusaningrum,5,,7,FAKE,Bintang 5 tanpa teks; Tidak ada foto reviewer; Bukan Local Guide; Banyak review di hari yg sama (>5),False
dicky Moch rizal,4,"Sy gak begitu sesuai dg rasa masakannya. Staf ramah banget dan helpful. Sajian gak lama, ditunggu sambil ngobrol. Ber 16 semua tersaji 20 menitan. Ala carte ya pesen sendiri2. Termasuk cepet lho. Porsi lumayan besar bisa buat sharing",1,REAL,Terlihat asli,False
